Sizes_pricerange,offer,RERA-ID,About_project,Amenities,About_builder_desc,Base_price,PossessionDate,Insights_into_neighbourhood,Price_per_sqft,Apartments,Locality,Builder_by,Pricetrend_values
1171.00 sqft. - 1599.00 sqft.,,"
PRM/KA/RERA/1251/309/PR/171026/000415
","Surrounded by tranquil settings, Mahaveer Celesse is a modern residential development by Mahaveer Reddy Structures at Hunasamaranahalli, Bangalore. Tucked with all the amenities and facilities, this aesthetic project ensures that you live a plush and comfortable lifestyle. Allowing maximum sunlight and ample ventilation, every abode is planned by the architectures to maintain spaciousness and privacy. Connected to all the conveniences, the builder ensures that residents breathe fresh air and live a healthy life. Well appointed with all the fittings and fixtures, it ensures that you celebrate every moment you spend over here.","
,Multi-purpose Court to play games of your choice,
,Clubhouse to spend quality leisure time with your loved one,
,Multi-purpose Hall to organize meetings and get-togethers,
,Salon/Spa, Steam and Sauna Facilities to unwind sore muscles,
,Badminton Court and Carom and Cards Room to have fun during leisure time,
,Party Hall and Roof-top Open Party Area to celebrate memorable moments,
,Squash Court to celebrate those special moments,
","
,
,Mahaveer Group,
,
,
,
,Established in,
,1997,
,
,
,Total Projects,
,36,
,
,
,
,An ISO 9001:2015 Bureau Veritas Certified Company,  Mahaveer Group has been progressively successful in propagating its goals across all  verticals from value structures to luxury edifices, plots, apartments, villas, communities, commercial spaces and more. The company is well established to lead, the conscious driven quality constructions in South India. Mahaveer Group is one of South India's largest and most specialized real estate company. The company with sheer dedication to reach out the masses has delivered value projects with keen customer insight and operational expertise. It is well recognized for high quality standards and its commitment for on time deliveries. The company's innovative streak with customer centric core, in-house research with eco consciousness, unwavering quality and uncompromising business ethics drives a community of home builders to be the best in class. A highly dedicated team of professionals with state of the art modern technology practices are trend setting across details to ascertain Mahaveer Reddy Structures as front runner in real estate industry. The company has evolved from its humble beginnings to now create world class living options in the industry.,
,
,
,
,Read Less,
,
,
,Read More,
,
,
",56.21 Lacs +,"Jun, 2020","
,Hunasamaranahalli is a suburb in Bangalore. It is a developing residential location with

provision for all facilities. Bangalore-Hyderabad Highway passes through this region. Other

small roads within the vicinity are the Sir MVIT College Road and MCEHS Main Road.

Bettahalasaur Railway Station and Yelahanka Railway Junction are the nearest to this area.

Kempegowda International Airport is the closest to Hunasamaranahalli, also HAL Bangalore

International Airport is at a driving distance from this place. Some of the schools in and

around the locale are Primary School, Pre-University College, Kendriya Vidyalaya, Sir M.

Visvesvaraya Institute of Tech. And Air Force School. For healthcare facilities, the Fortis

Hospital, Columbia Asia Hospital, Manipal Hospital and K.K Hospital are located in the area.

There are a number of market places located in close vicinity with several restaurants and

shops. Hunasamaranahalli is an example of the perfect melding of state-of-the-art work

spaces, modern residential complexes, glitzy malls, multiplexes and shopping centers.
,
","4800.00 per sqft.
","2, 3 BHK Apartments","Yelahahanka/Bellary Road, Bangalore",Mahaveer Group,"{""q3"":4130,""q2"":3926,""q4"":4128,""year"":2013},{""q1"":4130,""q3"":4287,""q2"":4196,""q4"":4374,""year"":2014},{""q1"":4438,""q3"":4493,""q2"":4505,""q4"":4477,""year"":2015},{""q1"":4411,""q3"":4799,""q2"":4542,""q4"":4817,""year"":2016},{""q1"":4599,""year"":2017}"
"
",,,,,,2.0 Cr,"1910.00 sqft.,
Higher
,
,
,
,East",,"
","
","Na, Yelahanka, Bangalore",,"{""q3"":4130,""q2"":3926,""q4"":4128,""year"":2013},{""q1"":4130,""q3"":4287,""q2"":4196,""q4"":4374,""year"":2014},{""q1"":4438,""q3"":4493,""q2"":4505,""q4"":4477,""year"":2015},{""q1"":4411,""q3"":4799,""q2"":4542,""q4"":4817,""year"":2016},{""q1"":4599,""year"":2017}"
"
",,,,,,75.0 Lacs,"1315.00 sqft.,0 Years,
Middle
,
,
,
,North-East",,"
","
","Doddaballapura Main Road, Near Crpf Hospital, Avalahalli, Yelahanka, Bangalore",,
"
",,,,,,1.9 Cr,"1910.00 sqft.,0 Years,
Higher
,
,
,
,North",,"
","
","Yelahanka Main Road, Near Oriental Bank Of Commerce, Ambedkar Colony, Yelahanka, Bangalore",,
"
",,,,,,2.0 Cr,"1190.00 sqft.,1 Year,
Higher
,
,
,
,East",,"
","
","Yelahanka, Yelahanka, Bangalore",,"{""q3"":4130,""q2"":3926,""q4"":4128,""year"":2013},{""q1"":4130,""q3"":4287,""q2"":4196,""q4"":4374,""year"":2014},{""q1"":4438,""q3"":4493,""q2"":4505,""q4"":4477,""year"":2015},{""q1"":4411,""q3"":4799,""q2"":4542,""q4"":4817,""year"":2016},{""q1"":4599,""year"":2017}"
"
",,,,,,2.0 Cr,"1900.00 sqft.,
Higher
,
,
,
,East",,"
","
","Na, Yelahanka, Bangalore",,"{""q3"":4130,""q2"":3926,""q4"":4128,""year"":2013},{""q1"":4130,""q3"":4287,""q2"":4196,""q4"":4374,""year"":2014},{""q1"":4438,""q3"":4493,""q2"":4505,""q4"":4477,""year"":2015},{""q1"":4411,""q3"":4799,""q2"":4542,""q4"":4817,""year"":2016},{""q1"":4599,""year"":2017}"
1800.00 sqft. - 1940.00 sqft.,,,"Navami MN Orchid is an exclusive project offering class community living to the urban city

dwellers of today. The project offers signature floor plans with plenty of open spaces so that

you and your family can live and grow without feeling clustered. From imported flooring to

premium quality fittings, the project exudes undefined luxury. Loaded with a range of world

class amenities and facilities to make your life eas, Navami MN Orchid is the place where

you will experience the joy of living everyday life in a luxurious environment which will

pamper you in every way imaginable.","
,Indoor Games to let you indulge in your favorite sport,
","
,
,Navami Builders and Developers,
,
,
,
,Established in,
,2009,
,
,
,Total Projects,
,20,
,
,
,
,Based in Bangalore and an ISO 9001:2008 Certified Company, Navami Builders and Developers is a renowned name in the Realty Sector. With an experience of over two decades, the company focuses on the development of residential as well as commercial properties. Driven by a motive to be one of the leading companies in the market, the company strives hard to achieve architectural excellence in all its projects undertaken. Built on the pillars of Trust, Quality, Reliability and Value for money, the firm aspires to achieve customer satisfaction with an aspiration to maintain long term relationships with their valued customers. Armed with a qualified team of engineers and architects, Navami Builders and Developers continues to build landmark projects and set new standards for itself.,
,
,
,
,Read Less,
,
,
,Read More,
,
,
",77.4 Lacs +,Ready to Move,"
,Yelahanka is a rapidly growing district of Bangalore in Karnataka, originally called as a

satellite town of Bangalore city. Yelahanka is a place full of rich heritage. It is located near

the fast developing northern section of Greater Bangalore. Yelahanka enjoys good

connectivity with easy access to NH7 and State Highway 9. Yelahanka has become one of the

main business centre’s of Bangalore City. Yelahanka has an excellent connectivity be it road,

rail or air. The road network to Yelahanka is one of the best in entire Bangalore. Yelahanka

railway station is one of the oldest stations setup in Bangalore area and has railway lines

connecting KR Puram and Bayappanahalli in the east and Yeshwanthpur in the North West.

Kempe Gowda International Airport is also located at a short driving distance off Yelahanka.
,
","4300.00 per sqft.
",3 BHK Apartment,"No. 32 / 52 / 1, Ananthapura Village, Near - Eurokids, Elite Kempton Kourt, Bangalore",,
3500.00 sqft.,,,"RMZ Sawaan, a beautiful apartment offering independent villas is a coveted combination of 

luxury and serenity. Developed for the discerning home seekers with an eye for top class luxury 

and comfort, this is an avenue where you can see all your dreams and aspirations 

coming true. The architects have used cutting edge technology to design the villas and 

every detail has been finalized after close scrutiny. The amenities are also a complete 

match for elite lifestyle. You can walk into the leisure zone anytime you want and get in touch 

with your mind and soul. There are sufficient facilities to help you stay fit and you will rarely 

come across a moment of boredom. ","
,Jacuzzi for unwinding after a tiring day,
,Party Hall for celebrations on special occasions,
,Senior Citizen Sit Outs where elders can socialize,
,Guest Rooms to let you take special care of your guests,
,Fitness Area to stay fit and healthy,
,Kids Pool wherein your little ones can enjoy playing in water,
","
,
,RMZ Homes,
,
,
,
,Established in,
,2011,
,
,
,Total Projects,
,3,
,
,
,
,RMZ Homes is one of the largest Real Estate developers in India with over 20 million square feet of prime Real Estate developments built since its inception. Their expertise in the development of Commercial Office spaces has propelled them to expand our horizon and embark on developing state of the art Residential, Retail, and Hospitality spaces. RMZ Homes is a one of the pioneers in the development of Grade A office spaces in India. The several iconic developments they have created over the years are a testimonial to RMZ Homes development expertise. They firmly believe that buildings of superior quality and architectural merit backed by responsive, professional management attract top-quality tenants and investors, and enhance value for our stakeholders on a sustainable basis. At RMZ Homes, they are focused on creating workspace environments at prime locations that cater to our occupiers demands – be it flexibility or utility. This approach pans across all development across every asset class. All these measures have made RMZ Homes a preferred provider of office spaces for Multi-National Corporations. They strive to extend the expertise gained in the office vertical to other asset classes as well.,
,
,
,
,Read Less,
,
,
,Read More,
,
,
",4.5 Cr +,Ready to Move,"
,Maruthi Nagar is a top class suburb of Bangalore located off the Bangalore-Hyderabad Highway  that is coming up in a big way with lots of potential for real estate developers. Housing many  commercial and residential projects, it is well-endowed with civic amenities such as water  supply, lighting, sanitation, roads and other facilities. Yasvantpur and, Malleswaramare the  nearest railway stations while the Bangalore City Railway Station is also near by. Bengaluru International Airport also lies a brief driving distance away. The roads passing through the  area connect it to the nearby destinations and you can also visit tourist spots such as  Nandi Hills, Bheemeshwari, Shivagange and Savandurga. Maruthi Nagar is blessed with many educational institutes and schools such as Anu Public School, Bharat Matha Presidency School,  Shiksha Niketan Primary School, St Josephs Indian Composite and S J R Law College. One can also find hospitals, reputed banks, shops, parks and other recreational avenues here that contribute to the smooth functioning of daily life of the residents. 
,
","12857.00 per sqft.
",4 BHK Villa,"Off Bangalore-Hyderabad Highway, Near Yelahanka Pipe Factory, Palanahalli, Yelahanka, Bangalore",,"""Strategic Location"",""Villa Front Garden"",""Decorative Entrance Lobby"",""Meeting Plaza"",""Meditation Garden with Water Body"",""Plaza with Sculpture"",""Visitor Car Parking Space "",""Children Sand Pit"""
1468.00 sqft. - 1910.00 sqft.,,,"Galleria Residences is the luxurious residential project that is ultimate choice for the 

people who want luxury, comfort and elegance in the form of home. Galleria Residences is built 

with all desired amenities and facilities that are required for happy living. Galleria Residences is built in a lavish green environment 

with enormous space provided to 

lead a pleasant living. Elite design of Galleria Residences is built with modern design which allows the flow of ample amount of air and ambient light. Galleria Residences 

is equipped with trendy fashioned amenities and facilities to give you sophisticated lifestyle with 

utmost privacy.","
,Multi-purpose Court to stay fit and healthy ,
,Kids Pool wherein your little ones can enjoy playing in water,
,Multi-purpose Lawn Area for relaxed evenings,
","
,
,RMZ Homes,
,
,
,
,Established in,
,2011,
,
,
,Total Projects,
,3,
,
,
,
,RMZ Homes is one of the largest Real Estate developers in India with over 20 million square feet of prime Real Estate developments built since its inception. Their expertise in the development of Commercial Office spaces has propelled them to expand our horizon and embark on developing state of the art Residential, Retail, and Hospitality spaces. RMZ Homes is a one of the pioneers in the development of Grade A office spaces in India. The several iconic developments they have created over the years are a testimonial to RMZ Homes development expertise. They firmly believe that buildings of superior quality and architectural merit backed by responsive, professional management attract top-quality tenants and investors, and enhance value for our stakeholders on a sustainable basis. At RMZ Homes, they are focused on creating workspace environments at prime locations that cater to our occupiers demands – be it flexibility or utility. This approach pans across all development across every asset class. All these measures have made RMZ Homes a preferred provider of office spaces for Multi-National Corporations. They strive to extend the expertise gained in the office vertical to other asset classes as well.,
,
,
,
,Read Less,
,
,
,Read More,
,
,
",1.28 Cr +,Ready to Move,"
,Yelahanka is a rapidly growing district of Bangalore in Karnataka, originally called as a 

satellite town of Bangalore city. Yelahanka is a place full of rich heritage. It is located near the 

fast developing northern section of Greater Bangalore. Yelahanka enjoys good connectivity with 

easy access to NH7 and State Highway 9. Yelahanka has become one of the main business 

centre’s of Bangalore City. Yelahanka has an excellent connectivity be it road, rail or air. The 

road network to Yelahanka is one of the best in entire Bangalore. Yelahanka railway station is 

one of the oldest stations setup in Bangalore area and has railway lines connecting KR Puram 

and Bayappanahalli in the east and Yeshwanthpur in the North West. Kempe Gowda 

International Airport is also located at a short driving distance off Yelahanka.
,
","8750.00 per sqft.
","2, 3 BHK Apartments","SH 9, Ambedkar Colony, Near The Galleria Mall, Bangalore",,
1170.00 sqft. - 1926.00 sqft.,"Offer,No Pre-EMI* for 24 months","
PRM/KA/RERA/1251/309/PR/180217/001266
","North 24 is an elegant residential development by Vaishnavi Group at Hebbal Kempapura in Bangalore,. Well-equipped with all the modern amenities this project ensures that you live a luxurious life with no compromise in comfort. Allowing maximum sunlight and ample ventilation, every abode maintains privacy required for a family to reside in. The opulent elevation that perfectly matches with the modern interiors will surely uplift your standard of living. Surrounded by peaceful and calm environment, North 24 is connected to all the basic conveniences that a person aspires for. Welcoming you to a world of modern lifestyle, this project will make your every moment spent as memorable and cheerful. ","
,Table Tennis to challenge your mate while having fun
,
,Indoor Board Games to play games of your choice
,
,Space for Yoga/Aerobics and Well Equipped Gym to maintain your fitness
,
,TV & Reading Room to spend your leisure time
,
,Multipurpose Hall to organize meeting or get-togethers,
,Interactive Water Jets
,
,Driveway,
,Activity Plaza
,
,Green Courtyard
,
,Walkway
,
,Folks Area
,
,Outdoor GYM,
,Indoor Swimming Pool
,
,Reflexology Path
,
,Kid's Pool,
,Gymnasium with Toddlers Pool,
,Games Room with Table,
,Space for Yoga & Aerobics,
","
,
,Vaishnavi Group,
,
,
,
,Established in,
,1998,
,
,
,Total Projects,
,3,
,
,
,
,The Vaishnavi Group is a Bangalore-based developer of Residential and Commercial property that has created wealth for its customers through steady appreciation triggered by ideal location, quality construction and overall aesthetics. It handles every aspect of Real Estate development across Bangalore. They professionally manage the all the developmental activities that are needed to develop luxury Real Estate end-products, by judiciously delegating its various specializations to a network of highly specialized in-house and associated professionals. Producing the niche ultra-luxury segment for you, it ensures that all the customers feel a pleasant experience with sophistication and comfortability.,
,
,
,
,Read Less,
,
,
,Read More,
,
,
",73.71 Lacs +,"Dec, 2019","
