name,id,,,
A S Rao Nagar,24456,,"""24456"",","""24456"","
Abdullapurmet,42838,,"""42838"",","""42838"","
Abids,3877,,"""3877"",","""3877"","
Adarsh Nagar,36011,,"""36011"",","""36011"","
Adibatla,32685,,"""32685"",","""32685"","
Adikmet,41107,,"""41107"",","""41107"","
Afzal Gunj,38317,,"""38317"",","""38317"","
Ahmedguda,46249,,"""46249"",","""46249"","
Almasguda,36262,,"""36262"",","""36262"","
Alugaddabavi,46309,,"""46309"",","""46309"","
Alwal,3886,,"""3886"",","""3886"","
Amberpet,3888,,"""3888"",","""3888"","
Ameenpur,6530,,"""6530"",","""6530"","
Ameerpet,3889,,"""3889"",","""3889"","
Anandbagh,35262,,"""35262"",","""35262"","
Annojiguda,46006,,"""46006"",","""46006"","
Appa Junction,29832,,"""29832"",","""29832"","
Attapur,3897,,"""3897"",","""3897"","
Bachupally,3902,,"""3902"",","""3902"","
Badangpet,24455,,"""24455"",","""24455"","
Bahadurpally,39472,,"""39472"",","""39472"","
Bahadurpura,37356,,"""37356"",","""37356"","
Bairagiguda,44289,,"""44289"",","""44289"","
Bala Nagar,3913,,"""3913"",","""3913"","
Balamrai,46951,,"""46951"",","""46951"","
Balapur,39592,,"""39592"",","""39592"","
Balkampet,45930,,"""45930"",","""45930"","
Bandlaguda,4593,,"""4593"",","""4593"","
Bandlaguda - Nagole,45221,,"""45221"",","""45221"","
Banjara Hills,3916,,"""3916"",","""3916"","
Basheerbagh,3924,,"""3924"",","""3924"","
Beeramguda,23697,,"""23697"",","""23697"","
Begumpet,3927,,"""3927"",","""3927"","
Bhanur,44585,,"""44585"",","""44585"","
Bharat Heavy Electricals Limited,46596,,"""46596"",","""46596"","
Bhavani Nagar,46260,,"""46260"",","""46260"","
Bhogaram,36166,,"""36166"",","""36166"","
Bhoiguda,3934,,"""3934"",","""3934"","
Bhongir,45213,,"""45213"",","""45213"","
Bhuvanagiri,25746,,"""25746"",","""25746"","
Bibinagar,5941,,"""5941"",","""5941"","
BN Reddy Nagar,36263,,"""36263"",","""36263"","
Boduppal,27375,,"""27375"",","""27375"","
Bogaram,45823,,"""45823"",","""45823"","
Bolaram,30486,,"""30486"",","""30486"","
Borabanda,41477,,"""41477"",","""41477"","
Bowenpally,3942,,"""3942"",","""3942"","
Bowrampet,31042,,"""31042"",","""31042"","
Budvel,44487,,"""44487"",","""44487"","
Burgul,33148,,"""33148"",","""33148"","
Champapet,37388,,"""37388"",","""37388"","
Chanda Nagar,3950,,"""3950"",","""3950"","
Chandrayanagutta,35987,,"""35987"",","""35987"","
Chandupatla,46337,,"""46337"",","""46337"","
Chengicherla,45962,,"""45962"",","""45962"","
Cherlapally,3957,,"""3957"",","""3957"","
Chevalla,5239,,"""5239"",","""5239"","
Chikkadapally,29633,,"""29633"",","""29633"","
Chilkur,5535,,"""5535"",","""5535"","
Chinnamangalaram,45919,,"""45919"",","""45919"","
Chintal,3960,,"""3960"",","""3960"","
Chintalkunta,3962,,"""3962"",","""3962"","
Chintapallyguda,5471,,"""5471"",","""5471"","
Chowdhariguda,44604,,"""44604"",","""44604"","
Dammaiguda,25076,,"""25076"",","""25076"","
Dasarlapally,32404,,"""32404"",","""32404"","
Dattatreya Nagar,46475,,"""46475"",","""46475"","
Dayara,36264,,"""36264"",","""36264"","
Deshmuki Village,46667,,"""46667"",","""46667"","
Dhoolpet,3973,,"""3973"",","""3973"","
Dilsukhnagar,3975,,"""3975"",","""3975"","
Domalguda,3978,,"""3978"",","""3978"","
Dullapally,42452,,"""42452"",","""42452"","
Dundigal,3981,,"""3981"",","""3981"","
East Marredpally,3983,,"""3983"",","""3983"","
ECIL,3985,,"""3985"",","""3985"","
Edulanagulapalle,35861,,"""35861"",","""35861"","
Erragadda,3988,,"""3988"",","""3988"","
Falaknuma,3991,,"""3991"",","""3991"","
Film Nagar,3997,,"""3997"",","""3997"","
Financial District,44644,,"""44644"",","""44644"","
Gachibowli,3998,,"""3998"",","""3998"","
Gagillapur,41198,,"""41198"",","""41198"","
Gajularamaram,4001,,"""4001"",","""4001"","
Gandhi Nagar,4002,,"""4002"",","""4002"","
Gandi Maisamma,41636,,"""41636"",","""41636"","
Gandipet,44863,,"""44863"",","""44863"","
Ghansi Bazar,4007,,"""4007"",","""4007"","
Ghatkesar,4010,,"""4010"",","""4010"","
Golkonda,4011,,"""4011"",","""4011"","
Gopanpally,5383,,"""5383"",","""5383"","
Gowdavalli,45918,,"""45918"",","""45918"","
Gowlipura,46136,,"""46136"",","""46136"","
Gudimalkapur,36005,,"""36005"",","""36005"","
Gulshan-e-Iqbal Colony,42842,,"""42842"",","""42842"","
Gundlapochampally,41666,,"""41666"",","""41666"","
Gunrock Enclave,41673,,"""41673"",","""41673"","
Gurram Guda,29554,,"""29554"",","""29554"","
Habsiguda,4020,,"""4020"",","""4020"","
Hafeezpet,4021,,"""4021"",","""4021"","
Hakimpet,4022,,"""4022"",","""4022"","
Hanuman Nagar Colony,30854,,"""30854"",","""30854"","
Hasmathpet,25338,,"""25338"",","""25338"","
Hastinapuram,4026,,"""4026"",","""4026"","
Hayat Nagar,4027,,"""4027"",","""4027"","
Hi Tech City,4034,,"""4034"",","""4034"","
Himayath Nagar,4031,,"""4031"",","""4031"","
Humayun Nagar,4036,,"""4036"",","""4036"","
Hyder Nagar,41736,,"""41736"",","""41736"","
Hyderguda,4041,,"""4041"",","""4041"","
Ibrahim Bagh,46595,,"""46595"",","""46595"","
Ibrahimpatnam,33067,,"""33067"",","""33067"","
Indresham,45305,,"""45305"",","""45305"","
Isnapur,31044,,"""31044"",","""31044"","
Jahanuma,46013,,"""46013"",","""46013"","
Jalpally,35736,,"""35736"",","""35736"","
Jam Bagh,4048,,"""4048"",","""4048"","
Jawahar Nagar,4051,,"""4051"",","""4051"","
Jeedimetla,4052,,"""4052"",","""4052"","
Jeera,31506,,"""31506"",","""31506"","
Jubilee Hills,25783,,"""25783"",","""25783"","
Kachiguda,4057,,"""4057"",","""4057"","
Kakaguda,25394,,"""25394"",","""25394"","
Kalasiguda,35982,,"""35982"",","""35982"","
Kanchan Bagh,4065,,"""4065"",","""4065"","
Kandukur,5938,,"""5938"",","""5938"","
Kapra,4066,,"""4066"",","""4066"","
Kardhanur,46822,,"""46822"",","""46822"","
Karkhana,4068,,"""4068"",","""4068"","
Karmanghat,4069,,"""4069"",","""4069"","
Karwan,4070,,"""4070"",","""4070"","
Katedan,36658,,"""36658"",","""36658"","
Kavadiguda,4072,,"""4072"",","""4072"","
Kavuri Hills,45123,,"""45123"",","""45123"","
Kazipally,41476,,"""41476"",","""41476"","
Keesara,25743,,"""25743"",","""25743"","
Keesara-Yadagirigutta Road,46358,,"""46358"",","""46358"","
keshampet,46590,,"""46590"",","""46590"","
Khairatabad,4076,,"""4076"",","""4076"","
Kings Colony,46246,,"""46246"",","""46246"","
Kismatpur,39591,,"""39591"",","""39591"","
Koheda,45951,,"""45951"",","""45951"","
Kokapet,25722,,"""25722"",","""25722"","
Kollur,37473,,"""37473"",","""37473"","
Kompally,4083,,"""4083"",","""4083"","
Kondakal,46657,,"""46657"",","""46657"","
Kondapur,4084,,"""4084"",","""4084"","
Kongara Kalan,45242,,"""45242"",","""45242"","
Korremula,46227,,"""46227"",","""46227"","
Kothaguda,27412,,"""27412"",","""27412"","
Kothapet,4085,,"""4085"",","""4085"","
Kothur,5385,,"""5385"",","""5385"","
Koti,36010,,"""36010"",","""36010"","
Kowkur,27364,,"""27364"",","""27364"","
KPHB,4087,,"""4087"",","""4087"","
Kukatpally,4089,,"""4089"",","""4089"","
Kurmaguda,45756,,"""45756"",","""45756"","
Kushaiguda,4078,,"""4078"",","""4078"","
Lakdi Ka Pul,4097,,"""4097"",","""4097"","
Lal Darwaza,42849,,"""42849"",","""42849"","
Lalapet,33035,,"""33035"",","""33035"","
Lallaguda,4101,,"""4101"",","""4101"","
Langar Houz,4102,,"""4102"",","""4102"","
Laxma Reddy Palem Colony,46044,,"""46044"",","""46044"","
Laxmiguda,46319,,"""46319"",","""46319"","
LB Nagar,4103,,"""4103"",","""4103"","
Lingampally,4106,,"""4106"",","""4106"","
Lothkunta,30240,,"""30240"",","""30240"","
M Turkapally,46254,,"""46254"",","""46254"","
Madhapur,4112,,"""4112"",","""4112"","
Madhura Nagar,4113,,"""4113"",","""4113"","
Madinaguda,6240,,"""6240"",","""6240"","
Mahadevpur Colony,45950,,"""45950"",","""45950"","
Maheshwaram,5538,,"""5538"",","""5538"","
Maisireddipalle,45210,,"""45210"",","""45210"","
Majarguda,42304,,"""42304"",","""42304"","
Malakpet,4121,,"""4121"",","""4121"","
Malkajgiri,4126,,"""4126"",","""4126"","
Malkaram,46664,,"""46664"",","""46664"","
Mallampet,6343,,"""6343"",","""6343"","
Mallapur,4127,,"""4127"",","""4127"","
Manchirevula,42552,,"""42552"",","""42552"","
Manikonda,4132,,"""4132"",","""4132"","
Manneguda,29552,,"""29552"",","""29552"","
Mansoorabad,44168,,"""44168"",","""44168"","
Maruti Nagar,33480,,"""33480"",","""33480"","
Masab Tank,36032,,"""36032"",","""36032"","
Mazidpur,42453,,"""42453"",","""42453"","
Medak Road,35851,,"""35851"",","""35851"","
Medchal,4138,,"""4138"",","""4138"","
Medipalli,31158,,"""31158"",","""31158"","
Meerpet,4139,,"""4139"",","""4139"","
Mehadipatnam,30585,,"""30585"",","""30585"","
Mehdipatnam,4141,,"""4141"",","""4141"","
Mettakanigudem,46630,,"""46630"",","""46630"","
Mettuguda,4142,,"""4142"",","""4142"","
Mirkhanpet,45429,,"""45429"",","""45429"","
Miyapur,4146,,"""4146"",","""4146"","
Moghalpura,35983,,"""35983"",","""35983"","
Moinabad,4147,,"""4147"",","""4147"","
Mokila,36004,,"""36004"",","""36004"","
Moosapet,4150,,"""4150"",","""4150"","
Moosarambagh,41665,,"""41665"",","""41665"","
Moti Ganpur,43042,,"""43042"",","""43042"","
Moti Nagar,4152,,"""4152"",","""4152"","
Moula Ali,4153,,"""4153"",","""4153"","
Musheerabad,4159,,"""4159"",","""4159"","
Muthangi,35784,,"""35784"",","""35784"","
Mylargada,31973,,"""31973"",","""31973"","
Nacharam,4160,,"""4160"",","""4160"","
Nadergul,44582,,"""44582"",","""44582"","
Nagaram,4161,,"""4161"",","""4161"","
Nagarjuna Sagar Road,30951,,"""30951"",","""30951"","
Nagole,4165,,"""4165"",","""4165"","
Nallagandla,4651,,"""4651"",","""4651"","
Nallakunta,4168,,"""4168"",","""4168"","
Nampally,4170,,"""4170"",","""4170"","
Nanakramguda,4172,,"""4172"",","""4172"","
Nandigama,29596,,"""29596"",","""29596"","
Narapally,45925,,"""45925"",","""45925"","
Narayanguda,4173,,"""4173"",","""4173"","
Narketpalli,31159,,"""31159"",","""31159"","
Narsapur,35852,,"""35852"",","""35852"","
Narsingi,37170,,"""37170"",","""37170"","
Nawab Saheb Kunta,36673,,"""36673"",","""36673"","
Neeladri Nagar,39937,,"""39937"",","""39937"","
Neknampur,46363,,"""46363"",","""46363"","
Neredmet,4177,,"""4177"",","""4177"","
New Bowenpally,46493,,"""46493"",","""46493"","
New Malakpet,40464,,"""40464"",","""40464"","
New Mallepally,37397,,"""37397"",","""37397"","
New Nallakunta,44765,,"""44765"",","""44765"","
Nizampet,29607,,"""29607"",","""29607"","
Nizampet Road,5411,,"""5411"",","""5411"","
NTR Nagar,4186,,"""4186"",","""4186"","
Old Bowenpally,30785,,"""30785"",","""30785"","
Osman Nagar,30498,,"""30498"",","""30498"","
Osman Sagar Road,35850,,"""35850"",","""35850"","
Padma Rao Nagar,4190,,"""4190"",","""4190"","
Pahadi Shareef,42721,,"""42721"",","""42721"","
Pashamylaram,46228,,"""46228"",","""46228"","
Patancheru,4196,,"""4196"",","""4196"","
Patancheru-Shankarpalli Road,44688,,"""44688"",","""44688"","
Patighanpur,45289,,"""45289"",","""45289"","
Pedda Amberpet,46030,,"""46030"",","""46030"","
Peerancheru,4609,,"""4609"",","""4609"","
Peerlagudam,45958,,"""45958"",","""45958"","
Peerzadiguda,35753,,"""35753"",","""35753"","
Pochampally,33324,,"""33324"",","""33324"","
Pocharam,5382,,"""5382"",","""5382"","
Polkampally,46209,,"""46209"",","""46209"","
Pragathi Nagar,23695,,"""23695"",","""23695"","
Prashanth Nagar,45037,,"""45037"",","""45037"","
Pulimamidi,5386,,"""5386"",","""5386"","
Punjagutta,25639,,"""25639"",","""25639"","
Puppalaguda,24880,,"""24880"",","""24880"","
Quthbullapur,4208,,"""4208"",","""4208"","
Qutub Shahi Tombs,42306,,"""42306"",","""42306"","
Ragannaguda,46580,,"""46580"",","""46580"","
Rai Durg,29331,,"""29331"",","""29331"","
Raikal,45294,,"""45294"",","""45294"","
Raj Bhavan Road,4213,,"""4213"",","""4213"","
Rajeev Nagar,38081,,"""38081"",","""38081"","
Rajendra Nagar,4214,,"""4214"",","""4214"","
Ram Nagar,36390,,"""36390"",","""36390"","
Ramakrishnapuram,30997,,"""30997"",","""30997"","
Ramanthapur,4216,,"""4216"",","""4216"","
Ramayampet,46054,,"""46054"",","""46054"","
Ramchandra Puram,31376,,"""31376"",","""31376"","
Ramgopalpet,4217,,"""4217"",","""4217"","
Ramoji Film City,4220,,"""4220"",","""4220"","
Rampally,5537,,"""5537"",","""5537"","
Rani Gunj,35988,,"""35988"",","""35988"","
Rasoolpura,4224,,"""4224"",","""4224"","
Ravulapalle Khurd,45438,,"""45438"",","""45438"","
Rendlagadda,41168,,"""41168"",","""41168"","
Riyasat Nagar,45328,,"""45328"",","""45328"","
Rudraram,36388,,"""36388"",","""36388"","
S D Road,32337,,"""32337"",","""32337"","
Sadashivpet,46824,,"""46824"",","""46824"","
Saidabad,4235,,"""4235"",","""4235"","
Saifabad,4237,,"""4237"",","""4237"","
Sainikpuri,4238,,"""4238"",","""4238"","
Saleem Nagar,4239,,"""4239"",","""4239"","
Sanath Nagar,4240,,"""4240"",","""4240"","
Sangareddy,36003,,"""36003"",","""36003"","
Sanjeeva Reddy Nagar,37015,,"""37015"",","""37015"","
Santosh Nagar,4241,,"""4241"",","""4241"","
Saroor Nagar,4242,,"""4242"",","""4242"","
Secunderabad,4245,,"""4245"",","""4245"","
Seetharampally,45771,,"""45771"",","""45771"","
Serilingampally,4607,,"""4607"",","""4607"","
Shadnagar,4246,,"""4246"",","""4246"","
Shahbaad,31839,,"""31839"",","""31839"","
Shaikpet,24682,,"""24682"",","""24682"","
Shamirpet,4250,,"""4250"",","""4250"","
Shamshabad,4251,,"""4251"",","""4251"","
Shankarpalli,4254,,"""4254"",","""4254"","
Shanthi Nagar,31093,,"""31093"",","""31093"","
Sheriguda,36911,,"""36911"",","""36911"","
Shivaji Nagar,46312,,"""46312"",","""46312"","
Siddhartha Nagar,32805,,"""32805"",","""32805"","
Sikh Village,46310,,"""46310"",","""46310"","
Sindhi Colony,32655,,"""32655"",","""32655"","
Sitaphalmandi,36253,,"""36253"",","""36253"","
Sivarampalli,41165,,"""41165"",","""41165"","
Somajiguda,4269,,"""4269"",","""4269"","
Sri Nagar Colony,30720,,"""30720"",","""30720"","
Srinagar Colony,4273,,"""4273"",","""4273"","
Srisailam Highway,32184,,"""32184"",","""32184"","
Subhash Nagar,25519,,"""25519"",","""25519"","
Suchitra Road,30692,,"""30692"",","""30692"","
Sultanpalle,46414,,"""46414"",","""46414"","
Sultanpur,45635,,"""45635"",","""45635"","
Suraram,39473,,"""39473"",","""39473"","
Tallaguda,46703,,"""46703"",","""46703"","
Tarnaka,4290,,"""4290"",","""4290"","
Tellapur,5223,,"""5223"",","""5223"","
Thimmapur,4630,,"""4630"",","""4630"","
Toli Chowki,4296,,"""4296"",","""4296"","
Toroor,45496,,"""45496"",","""45496"","
Trimulgherry,4294,,"""4294"",","""4294"","
Tukaram Gate,46751,,"""46751"",","""46751"","
Tukkuguda,41438,,"""41438"",","""41438"","
Tulekhurd,45442,,"""45442"",","""45442"","
Tupran,43088,,"""43088"",","""43088"","
Turkayamjal,43333,,"""43333"",","""43333"","
Uppaguda,36577,,"""36577"",","""36577"","
Uppal,4299,,"""4299"",","""4299"","
Upparpally,39148,,"""39148"",","""39148"","
Upperpally,4516,,"""4516"",","""4516"","
Vanasthalipuram,4300,,"""4300"",","""4300"","
Vattepally,35853,,"""35853"",","""35853"","
Vattinagulapally,46183,,"""46183"",","""46183"","
Velimela,45238,,"""45238"",","""45238"","
Venkat Reddy Colony,31025,,"""31025"",","""31025"","
Venkatapuram,31922,,"""31922"",","""31922"","
Vijay Nagar colony,46125,,"""46125"",","""46125"","
Vijayawada Highway,4306,,"""4306"",","""4306"","
Walker Town,31285,,"""31285"",","""31285"","
Warangal highway,32202,,"""32202"",","""32202"","
West Marredpally,4312,,"""4312"",","""4312"","
Whitefields,4650,,"""4650"",","""4650"","
Yadagirigutta,46118,,"""46118"",","""46118"","
Yakhutpura,42752,,"""42752"",","""42752"","
Yamnampet,46073,,"""46073"",","""46073"","
Yapral,4315,,"""4315"",","""4315"","
Yousufguda,4318,,"""4318"",","""4318"","
Zahirabad,37607,,"""37607"",","""37607"","
,,,""""",",""""","
